palette_id,palette_name,keywords,primary,secondary,accent,background,text,mood,industry
pal001,Midnight Blue,dark blue professional trust navy corporate,#1E3A8A,#3B82F6,#60A5FA,#0F172A,#F8FAFC,professional_trust,finance corporate legal
pal002,Cyber Punk,neon pink purple electric vibrant tech gaming,#D946EF,#8B5CF6,#06B6D4,#0A0A0A,#FAFAFA,energetic_bold,tech gaming crypto
pal003,Nature Green,eco green natural organic earth wellness,#059669,#10B981,#34D399,#ECFDF5,#064E3B,calm_natural,wellness eco sustainability
pal004,Sunset Orange,warm orange coral vibrant energetic fire,#EA580C,#FB923C,#FDBA74,#FFF7ED,#7C2D12,warm_energetic,food creative events
pal005,Royal Purple,luxury purple elegant premium sophisticated,#7C3AED,#A78BFA,#C4B5FD,#FAF5FF,#3B0764,luxury_elegant,premium fashion beauty
pal006,Ocean Teal,blue teal aqua fresh clean water,#0891B2,#06B6D4,#22D3EE,#ECFEFF,#164E63,fresh_calm,health tech marine
pal007,Monochrome,black white gray minimal simple elegant,#000000,#525252,#A3A3A3,#FFFFFF,#171717,minimal_elegant,design portfolio art
pal008,Rose Gold,pink gold feminine elegant warm romantic,#E11D48,#F472B6,#FBB6CE,#FFF1F2,#881337,feminine_elegant,beauty fashion wellness
pal009,Forest Dark,dark green brown natural earthy grounded,#14532D,#166534,#22C55E,#052E16,#F0FDF4,natural_grounded,outdoor eco adventure
pal010,Electric Blue,bright blue energetic modern vibrant tech,#2563EB,#3B82F6,#60A5FA,#EFF6FF,#1E3A8A,energetic_modern,tech startup innovation
pal011,Warm Neutral,beige tan cream soft warm cozy,#78716C,#A8A29E,#D6D3D1,#FAF9F6,#1C1917,warm_subtle,interior lifestyle hospitality
pal012,Pastel Dream,pastel soft gentle cute kawaii light,#C084FC,#F9A8D4,#FDE68A,#FFFBEB,#78350F,soft_playful,kids creative wellness
pal013,Industrial Gray,gray concrete steel modern industrial urban,#52525B,#71717A,#A1A1AA,#FAFAFA,#18181B,industrial_modern,architecture tech construction
pal014,Tropical Vibrant,tropical colorful bright exotic vibrant island,#F59E0B,#EF4444,#10B981,#FFFBEB,#78350F,vibrant_exotic,travel food entertainment
pal015,Deep Ocean,navy deep blue mysterious elegant professional,#1E40AF,#3730A3,#6366F1,#EEF2FF,#312E81,mysterious_deep,legal consulting finance
pal016,Cherry Red,red bold passionate energetic fire strong,#DC2626,#EF4444,#F87171,#FEF2F2,#7F1D1D,passionate_bold,events sports food
pal017,Mint Fresh,mint green fresh clean cool minimal,#10B981,#34D399,#6EE7B7,#ECFDF5,#065F46,fresh_clean,health food wellness
pal018,Lavender Dreams,lavender purple soft dreamy calming peaceful,#A78BFA,#C4B5FD,#DDD6FE,#F5F3FF,#4C1D95,dreamy_calm,beauty wellness spiritual
pal019,Slate Professional,slate gray blue professional corporate clean,#475569,#64748B,#94A3B8,#F8FAFC,#0F172A,professional_trustworthy,corporate business tech
pal020,Golden Hour,gold yellow warm luxury premium elegant,#D97706,#F59E0B,#FBBF24,#FFFBEB,#78350F,warm_luxury,luxury hospitality premium
pal021,Arctic White,white light clean minimal pure simple,#FFFFFF,#F3F4F6,#E5E7EB,#FAFAFA,#111827,clean_minimal,minimal portfolio tech
pal022,Crimson Dark,dark red wine burgundy elegant sophisticated,#991B1B,#B91C1C,#DC2626,#1C0000,#FEF2F2,elegant_dramatic,luxury wine hospitality
pal023,Sage Green,sage green muted natural calm organic,#84CC16,#A3E635,#BEF264,#F7FEE7,#365314,calm_organic,wellness interior lifestyle
pal024,Indigo Night,indigo dark purple deep mysterious elegant,#4338CA,#4F46E5,#6366F1,#1E1B4B,#E0E7FF,mysterious_modern,tech creative premium
pal025,Coral Reef,coral pink orange tropical warm vibrant,#FB7185,#FDA4AF,#FECDD3,#FFF1F2,#881337,warm_vibrant,beauty fashion tropical
pal026,Steel Blue,steel blue gray industrial modern professional,#0EA5E9,#38BDF8,#7DD3FC,#F0F9FF,#075985,industrial_professional,tech corporate construction
pal027,Amber Glow,amber orange warm glow sunset fire,#F59E0B,#FBBF24,#FCD34D,#FFFBEB,#78350F,warm_inviting,food hospitality events
pal028,Emerald Rich,emerald green rich luxury elegant premium,#059669,#10B981,#34D399,#ECFDF5,#064E3B,rich_elegant,luxury finance wellness
pal029,Plum Purple,plum purple dark rich elegant sophisticated,#9333EA,#A855F7,#C084FC,#FAF5FF,#581C87,elegant_sophisticated,luxury beauty creative
pal030,Turquoise Bright,turquoise bright fresh tropical vibrant clean,#14B8A6,#2DD4BF,#5EEAD4,#F0FDFA,#134E4A,fresh_vibrant,tropical health travel
pal031,Charcoal Black,charcoal black dark modern bold minimal,#18181B,#27272A,#3F3F46,#0A0A0A,#FAFAFA,dark_bold,tech creative premium
pal032,Peach Soft,peach soft warm friendly approachable gentle,#FB923C,#FDBA74,#FED7AA,#FFF7ED,#7C2D12,soft_friendly,beauty food wellness
pal033,Navy Classic,navy blue classic traditional professional trust,#1E3A8A,#1E40AF,#2563EB,#EFF6FF,#172554,classic_professional,corporate legal finance
pal034,Lime Bright,lime green bright energetic fresh vibrant,#84CC16,#A3E635,#BEF264,#F7FEE7,#365314,bright_energetic,food sports tech
