cta_id,cta_name,cta_type,description,primary_action,secondary_action,urgency_level,conversion_goal,placement,compatible_ui_styles,target_audience,mobile_friendly,accessibility_score
cta001,Primary CTA,Button,"Bold primary action button with strong contrast","Get Started Free","Learn More","high","lead_generation","Hero Section","1,4,5,7","SaaS tech startups","true","excellent"
cta002,Secondary CTA,Button,"Subtle secondary action button for alternative paths","View Demo","See Pricing","medium","product_discovery","Hero Section","2,6","B2B enterprise","true","excellent"
cta003,Hero CTA,Button,"Large hero section call-to-action with animation","Try For Free","Watch Demo","high","user_acquisition","Hero Section","1,5,9","E-commerce fashion","true","excellent"
cta004,Sticky Floating,Button,"Floating button that follows user scroll","Chat Now","Contact Sales","medium","customer_support","Bottom Right","7,9,10","Service businesses","true","good"
cta005,Form CTA,Form,"Lead capture form with multiple fields","Submit","Clear Form","high","lead_magnet","Mid Content","1,4,6","Education courses","true","excellent"
cta006,Newsletter CTA,Form,"Simple email collection for newsletters","Subscribe","No Thanks","low","email_list_building","Sidebar Footer","2,5,10","Content blogs","true","excellent"
cta007,Download CTA,Button,"Download-focused action with file type indicator","Download Now","View Samples","medium","content_distribution","Product Page","3,8,12","Software tools","true","good"
cta008,Pricing CTA,Button,"Pricing page specific call-to-action","Choose Plan","Compare Plans","high","sales_conversion","Pricing Table","4,5,6","SaaS products","true","excellent"
cta009,Signup CTA,Form,"Quick signup form with social login options","Sign Up Free","Login","high","user_registration","Landing Page","1,7,9","Apps platforms","true","excellent"
cta010,Popup CTA,Modal,"Modal popup with attention-grabbing design","Get Discount","Exit Popup","high","conversion_optimization","Exit Intent","7,9,12","E-commerce","false","medium"
cta011,Webinar CTA,Form,"Webinar registration form with date picker","Register Now","Add to Calendar","high","event_attendance","Event Page","5,8,10","Professional services","true","excellent"
cta012,Contact CTA,Form,"Contact form with multiple inquiry options","Send Message","Schedule Call","medium","business_leads","Contact Page","2,6,11","B2B services","true","excellent"
cta013,Testimonial CTA,Button,"CTA integrated with customer testimonials","Get Started","Read More Reviews","medium","social_proof","Testimonials","1,4,5","Service businesses","true","good"
cta014,Video CTA,Button,"Call-to-action following video content","Watch Full Video","See More Videos","medium","content_engagement","Video Section","9,12,15","Education entertainment","true","good"
cta015,Comparison CTA,Button,"CTA after feature comparison tables","Choose Plan","Custom Quote","medium","decision_support","Comparison Page","4,5,6","B2B SaaS","true","excellent"
cta016,Free Trial CTA,Button,"Free trial offer with risk-reversal guarantee","Start Free Trial","No Credit Card","high","trial_conversion","Product Page","1,5,7","Software services","true","excellent"
cta017,Waitlist CTA,Form,"Waitlist signup for upcoming launches","Join Waitlist","Notify Me","medium","launch_preparation","Coming Soon","3,8,14","New products","true","excellent"
cta018,Referral CTA,Button,"Referral program invitation","Invite Friends","Share on Social","medium","viral_growth","User Dashboard","7,9,12","Consumer apps","true","good"
cta019,Abandoned Cart,Modal,"Recovery popup for abandoned shopping carts","Complete Purchase","Continue Shopping","high","cart_recovery","Checkout Flow","12,13,15","E-commerce","false","medium"
cta020,Progressive CTA,Multi-step,"Step-by-step conversion funnel","Next Step","Skip Step","medium","user_guidance","Onboarding","1,4,6","Complex products","true","excellent"
