style_id,style_name,keywords,description,vibe,complexity,best_for
ui001,Glassmorphism,glass frosted blur transparency modern backdrop elegant,Frosted glass effect with backdrop blur and transparency,elegant_modern,medium,SaaS tech premium products
ui002,Neumorphism,soft shadow subtle 3d depth tactile embossed raised,Soft UI with subtle shadows creating raised elements,friendly_tactile,high,apps dashboards interfaces
ui003,Brutalism,raw bold typography contrast minimal unpolished edgy,Raw unpolished bold design with stark contrasts,edgy_authentic,low,creative portfolio art
ui004,Swiss Design,grid clean minimal typography hierarchy structure,Grid-based minimalist layout with clear hierarchy,professional_clean,low,corporate editorial magazine
ui005,Material Design,shadow elevation layers colorful google modern,Google's material design system with elevation,modern_friendly,medium,apps web mobile
ui006,Flat Design,simple colors minimal shadow clean 2d microsoft,2D flat visual style without gradients or shadows,clean_simple,low,web mobile modern
ui007,Skeuomorphism,realistic texture shadow depth dimension apple ios,Real-world object imitation with textures,familiar_nostalgic,high,luxury gaming premium
ui008,Dark Mode,dark background neon glow contrast night theme,Dark background with bright accents and glows,modern_immersive,medium,tech gaming crypto
ui009,Gradient Mesh,colorful gradient flowing organic vibrant smooth,Complex gradient backgrounds with smooth transitions,vibrant_artistic,high,creative fashion art
ui010,Minimalist,white space simple clean typography zen calm,Extreme simplicity with abundant whitespace,calm_focused,low,portfolio luxury premium
ui011,Maximalist,bold colorful patterns busy vibrant dense rich,Dense layered visual richness with many elements,energetic_expressive,high,fashion entertainment retail
ui012,Retro Futurism,80s neon chrome geometric synthwave nostalgic,80s/90s inspired future aesthetic with neon,nostalgic_fun,medium,gaming entertainment music
ui013,Y2K Revival,chrome bubble metallic playful glossy early 2000s,Early 2000s internet aesthetic with chrome effects,playful_nostalgic,high,fashion creative social
ui014,Claymorphism,3d clay soft shadow colorful depth inflated,3D clay-like inflated shapes with soft shadows,friendly_modern,high,apps creative playful
ui015,Aurora UI,gradient glow light ethereal smooth flowing dream,Flowing aurora-like gradients with soft glows,dreamy_premium,medium,tech premium spiritual
ui016,Bento Grid,cards modular blocks organized sections dashboard,Card-based modular grid layout like bento boxes,organized_modern,medium,dashboards portfolios saas
ui017,Neo-brutalism,bold borders shadows colorful raw geometric,Brutalism with added colors and playful shadows,bold_playful,medium,startups creative tech
ui018,Organic Shapes,curves blobs flowing natural asymmetric fluid,Fluid organic shapes instead of rigid boxes,natural_friendly,medium,wellness beauty creative
